Sea basin,Sea/waters,Beach/location,Country,Start_lat,Start_long,Litter source,% of total litter,Class,Reference
Mediterranean Sea,Tyrrhenian Sea,Sardinian slope,Italy,38.60472,8.508333,Aquaculture/fisheries,58.1,Class 4,Cau et al 2017
Mediterranean Sea,Tyrrhenian Sea,Sardinian slope,Italy,38.74528,8.484167,Aquaculture/fisheries,58.1,Class 4,Cau et al 2017
Mediterranean Sea,Tyrrhenian Sea,Sardinian slope,Italy,38.76306,8.209167,Aquaculture/fisheries,58.1,Class 4,Cau et al 2017
Mediterranean Sea,Tyrrhenian Sea,Sardinian slope,Italy,39.16972,8.103611,Aquaculture/fisheries,58.1,Class 4,Cau et al 2017
Mediterranean Sea,Northern and Central Adriatic Sea,Adriatic seabed,,45.4,12.5,Aquaculture,5.88,Class 2,Strafella et al 2015
Mediterranean Sea,Northern and Central Adriatic Sea,Adriatic seabed,,45.6,13.1,Aquaculture,0.00,Class 1,Strafella et al 2015
Mediterranean Sea,Northern and Central Adriatic Sea,Adriatic seabed,,45.63985,13.482517,Aquaculture,0.00,Class 1,Strafella et al 2015
Mediterranean Sea,Northern and Central Adriatic Sea,Adriatic seabed,,45.081517,12.39885,Aquaculture,65.00,Class 4,Strafella et al 2015
Mediterranean Sea,Northern and Central Adriatic Sea,Adriatic seabed,,45.133333,12.516667,Aquaculture,0.00,Class 1,Strafella et al 2015
Mediterranean Sea,Northern and Central Adriatic Sea,Adriatic seabed,,45.25,12.866667,Aquaculture,0.00,Class 1,Strafella et al 2015
Mediterranean Sea,Northern and Central Adriatic Sea,Adriatic seabed,,44.809717,12.464033,Aquaculture,1.38,Class 1,Strafella et al 2015
Mediterranean Sea,Northern and Central Adriatic Sea,Adriatic seabed,,44.983333,12.916667,Aquaculture,36.27,Class 4,Strafella et al 2015
Mediterranean Sea,Northern and Central Adriatic Sea,Adriatic seabed,,45.149667,13.2459,Aquaculture,0.00,Class 1,Strafella et al 2015
Mediterranean Sea,Northern and Central Adriatic Sea,Adriatic seabed,,44.85,12.533333,Aquaculture,0.00,Class 1,Strafella et al 2015
Mediterranean Sea,Northern and Central Adriatic Sea,Adriatic seabed,,44.616667,12.766667,Aquaculture,0.00,Class 1,Strafella et al 2015
Mediterranean Sea,Northern and Central Adriatic Sea,Adriatic seabed,,44.7541,13.178133,Aquaculture,0.00,Class 1,Strafella et al 2015
Mediterranean Sea,Northern and Central Adriatic Sea,Adriatic seabed,,44.26675,12.388417,Aquaculture,0.12,Class 1,Strafella et al 2015
Mediterranean Sea,Northern and Central Adriatic Sea,Adriatic seabed,,44.318033,12.572417,Aquaculture,0.00,Class 1,Strafella et al 2015
Mediterranean Sea,Northern and Central Adriatic Sea,Adriatic seabed,,44.366667,12.833333,Aquaculture,0.00,Class 1,Strafella et al 2015
Mediterranean Sea,Northern and Central Adriatic Sea,Adriatic seabed,,44.514917,13.22275,Aquaculture,0.00,Class 1,Strafella et al 2015
Mediterranean Sea,Northern and Central Adriatic Sea,Adriatic seabed,,44.12325,12.77695,Aquaculture,0.00,Class 1,Strafella et al 2015
Mediterranean Sea,Northern and Central Adriatic Sea,Adriatic seabed,,44.399433,13.648183,Aquaculture,0.00,Class 1,Strafella et al 2015
Mediterranean Sea,Northern and Central Adriatic Sea,Adriatic seabed,,44.337117,14.038167,Aquaculture,0.00,Class 1,Strafella et al 2015
